Question,infomation,productTopSell,recommendedProduct,ingredient,quality,greeting
bạn có thể trả lời giúp mình espresso và cà phê thì cái nào ngon hơn theo bạn,0,0,0,0,1,0
mình muốn hỏi bạn chút thông tin về sản phẩm nào được làm từ bơ,0,0,0,1,0,0
bạn có thể trả lời thắc mắc của mình americano được chế biến như thế nào,1,0,0,0,0,0
có thể hỏi bạn về espresso có chất lượng không,0,0,0,0,1,0
mình hỏi chút mật ong có trong sản phẩm nào,0,0,0,1,0,0
chào mình muốn hỏi,0,0,0,0,0,1
mình hỏi chút espresso có chất lượng không,0,0,0,0,1,0
mình cần bạn giải đáp sản phẩm nào đang được mọi người ưa chuộng mua sắm hiện tại,0,1,0,0,0,0
mình thắc mắc muốn hỏi bạn sản phẩm nào sử dụng đường,0,0,0,1,0,0
bạn cho mình xin thông tin về có sản phẩm nào được chế biến từ trà,0,0,0,1,0,0
cho mình hỏi americano với cà phê thì cái nào phổ biến hơn,0,0,0,0,1,0
bạn cho mình xin thông tin về top sản phẩm nào đang được khách hàng yêu thích nhất hiện nay,0,1,0,0,0,0
mình muốn hỏi americano được xếp vào loại nào trên thị trường,1,0,0,0,0,0
mình muốn tìm hiểu về cà phê còn không,1,0,0,0,0,0
mình có một thắc mắc cửa hàng gợi ý sản phẩm cho mình được không,0,0,1,0,0,0
có thể cho mình biết sản phẩm nào được làm từ socola,0,0,0,1,0,0
có thể giúp mình giải đáp chất lượng của espresso có đảm bảo không,0,0,0,0,1,0
mình muốn hỏi sữa có trong sản phẩm nào,0,0,0,1,0,0
có thể hỏi bạn về espresso có được nhiều người đánh giá cao không,0,0,0,0,1,0
cho mình hỏi americano có tốt như lời đồn không,0,0,0,0,1,0
bạn giúp mình với americano là thuộc dòng sản phẩm gì,1,0,0,0,0,0
mình có một thắc mắc espresso có chất lượng không,0,0,0,0,1,0
có thể hỏi bạn về espresso là thuộc dòng sản phẩm gì,1,0,0,0,0,0
mình thắc mắc chút americano còn hàng không,1,0,0,0,0,0
bạn giúp mình với có sản phẩm nào được chế biến từ sữa,0,0,0,1,0,0
có thể hỏi bạn về sản phẩm nào có lượt mua nhiều nhất trong thời gian gần đây,0,1,0,0,0,0
bạn có thể cung cấp thông tin về chất lượng của espresso thế nào,0,0,0,0,1,0
mình đang thắc mắc về có thể đặt hàng cà phê bây giờ được không,1,0,0,0,0,0
sản phẩm được mua nhiều nhất là gì,0,1,0,0,0,0
mình cần chút thông tin về bơ có trong sản phẩm nào,0,0,0,1,0,0
nhân viên mình có một thắc mắc,0,0,0,0,0,1
cho tớ hỏi số lượng cà phê hiện tại trong kho là bao nhiêu,1,0,0,0,0,0
mình thắc mắc muốn hỏi bạn americano có được nhiều người yêu thích không,0,0,0,0,1,0
bạn cho mình xin thông tin về cà phê nào phù hợp với em,0,0,1,0,0,0
mình cần bạn giải đáp sản phẩm nào đang có nhiều phản hồi tích cực và bán chạy,0,1,0,0,0,0
mình có điều muốn hỏi thông tin về americanothông tin chi tiết về americano,1,0,0,0,0,0
bạn giúp mình với có mặt hàng nào hiện tại đang dẫn đầu về lượng bán ra không,0,1,0,0,0,0
mình cần chút thông tin về sản phẩm chứa phô mai nào phổ biến nhất,0,0,0,1,0,0
mình thắc mắc muốn hỏi bạn americano được làm từ nguyên liệu gì,1,0,0,0,0,0
cho tớ hỏi americano có được nhiều người đánh giá cao không,0,0,0,0,1,0
mình cần chút thông tin về có nên thử americano không,0,0,0,0,1,0
bạn giúp mình chút được không cà phê có ngon hơn espresso không,0,0,0,0,1,0
mình thắc mắc muốn hỏi bạn có nên lựa chọn americano không,0,0,0,0,1,0
mình có điều muốn hỏi mặt hàng nào được xem là xu hướng và đang bán chạy nhất hiện tại,0,1,0,0,0,0
bạn cho mình xin thông tin về thông tin về americanothông tin chi tiết về americano,1,0,0,0,0,0
hello bạn mình thắc mắc muốn hỏi bạn,0,0,0,0,0,1
bạn cho mình xin thông tin về cà phê có phù hợp với tôi không,0,0,0,0,1,0
mình có một thắc mắc espresso được chế biến như thế nào,1,0,0,0,0,0
bạn có thể trả lời giúp mình americano có ngon hơn cà phê không,0,0,0,0,1,0
hey bạn bạn có thể trả lời thắc mắc của mình,0,0,0,0,0,1
có thể hỗ trợ mình với nguyên liệu nào được dùng để làm americano,1,0,0,0,0,0
mình đang thắc mắc về có thể đặt hàng espresso bây giờ được không,1,0,0,0,0,0
mình có một câu hỏi tôi có thể tìm sản phẩm chứa bơ ở đâu,0,0,0,1,0,0
cho mình thắc mắc americano với cà phê thì loại nào được ưa chuộng hơn,0,0,0,0,1,0
chào cậu mình hỏi chút,0,0,0,0,0,1
có thể giúp mình giải đáp americano được mô tả như thế nào,1,0,0,0,0,0
cậu giúp mình với sản phẩm chứa đường nào phổ biến nhất,0,0,0,1,0,0
mình cần bạn giải đáp hiện tại có thể mua bao nhiêu americano,1,0,0,0,0,0
cho tớ hỏi sản phẩm nào được chế biến bởi mật ong,0,0,0,1,0,0
có thể giúp mình giải đáp cà phê có phân loại ra sao,1,0,0,0,0,0
bạn có thể trả lời giúp mình phô mai có trong sản phẩm nào,0,0,0,1,0,0
cho mình hỏi americano có đáng tiền không,0,0,0,0,1,0
mình thắc mắc muốn hỏi bạn có cà phê nào mà tớ không nên bỏ lỡ không,0,0,1,0,0,0
mình cần bạn giải đáp cà phê nào phù hợp với mình,0,0,1,0,0,0
quán cậu giúp mình với,0,0,0,0,0,1
mình có một thắc mắc bạn có thể cho mình biết giá của espresso không,1,0,0,0,0,0
bạn mình muốn hỏi,0,0,0,0,0,1
mình muốn hỏi sản phẩm nào có trứng,0,0,0,1,0,0
cho mình thắc mắc sản phẩm cà phê có xứng đáng không,0,0,0,0,1,0
có thể hỏi bạn về cà phê với espresso cái nào ngon hơn,0,0,0,0,1,0
bạn có thể cho tớ thông tin về americano có an toàn khi sử dụng không,0,0,0,0,1,0
hello shop có thể hỗ trợ mình với,0,0,0,0,0,1
mình có một câu hỏi quán còn bán cà phê này không,1,0,0,0,0,0
bạn giúp mình chút được không sản phẩm nào giữa americano và cà phê là tốt hơn,0,0,0,0,1,0
mình có một câu hỏi có nên lựa chọn espresso không,0,0,0,0,1,0
có thể giải đáp giúp mình không americano được tạo thành từ những nguyên liệu gì,1,0,0,0,0,0
cho mình thắc mắc sản phẩm nào có mật ong,0,0,0,1,0,0
cho tớ hỏi có sản phẩm nào được chế biến từ trứng,0,0,0,1,0,0
có thể cho mình biết có sản phẩm nào chứa đường không,0,0,0,1,0,0
mình muốn tìm hiểu về em muốn biết cà phê nào là tốt nhất,0,0,1,0,0,0
cho tớ hỏi gợi ý cà phê mà em có thể thích,0,0,1,0,0,0
mình có điều muốn hỏi sản phẩm nào có xu hướng bán chạy nhất trong tháng vừa rồi,0,1,0,0,0,0
bạn có thể cung cấp thông tin về espresso có tính năng nổi bật nào,1,0,0,0,0,0
cho tớ hỏi sản phẩm có chứa socola không,0,0,0,1,0,0
cho mình thắc mắc bạn thấy espresso có đáng thử không,0,0,0,0,1,0
có thể hỏi bạn về bạn có thể gợi ý cà phê cho em không,0,0,1,0,0,0
alo quán mình đang thắc mắc về,0,0,0,0,0,1
mình muốn hỏi cửa hàng gợi ý sản phẩm cho em được không,0,0,1,0,0,0
bạn có thể cung cấp thông tin về cà phê được xếp vào loại nào trên thị trường,1,0,0,0,0,0
bạn cho mình hỏi bạn có thể cho mình biết giá của americano không,1,0,0,0,0,0
cho tớ hỏi espresso có phù hợp với tôi không,0,0,0,0,1,0
mình hỏi chút nạn có thể cho mình biết danh sách sản phẩm bán chạy nhất không,0,1,0,0,0,0
mình có điều muốn hỏi tôi có thể tìm sản phẩm chứa trà ở đâu,0,0,0,1,0,0
mình thắc mắc muốn hỏi bạn giá của cà phê đã giảm hay chưa,1,0,0,0,0,0
cậu giúp mình với thành phần của americano không,1,0,0,0,0,0
mình có điều muốn hỏi espresso có đảm bảo chất lượng không,0,0,0,0,1,0
mình thắc mắc muốn hỏi bạn cà phê được xếp vào loại nào trên thị trường,1,0,0,0,0,0
bạn giúp mình chút được không cà phê nào em nên thử,0,0,1,0,0,0
mình thắc mắc chút cà phê nào mình nên xem xét,0,0,1,0,0,0
mình cần chút thông tin về chất lượng của espresso thế nào,0,0,0,0,1,0
mình có một câu hỏi sản phẩm nào được chế biến bởi cà phê,0,0,0,1,0,0
chào em mình đang thắc mắc về,0,0,0,0,0,1
mình hỏi chút sản phẩm chứa cà phê nào phổ biến nhất,0,0,0,1,0,0
mình có một thắc mắc cửa hàng gợi ý sản phẩm cho em được không,0,0,1,0,0,0
bạn cho mình xin thông tin về số lượng espresso hiện tại trong kho là bao nhiêu,1,0,0,0,0,0
bạn có thể trả lời thắc mắc của mình bạn có biết cà phê nào cho anh không?,0,0,1,0,0,0
americano còn hàng không,1,0,0,0,0,0
cậu giúp mình với có sản phẩm nào chứa phô mai không,0,0,0,1,0,0
bạn giúp mình chút được không sản phẩm chứa cà phê nào phổ biến nhất,0,0,0,1,0,0
bạn giúp mình chút được không sản phẩm có chứa mật ong không,0,0,0,1,0,0
có thể hỗ trợ mình với cà phê nào phù hợp với anh,0,0,1,0,0,0
bạn giúp mình chút được không bạn có thể gợi ý cà phê cho mình không,0,0,1,0,0,0
mình cần chút thông tin về mình muốn biết cà phê nào là tốt nhất,0,0,1,0,0,0
bạn giúp mình chút được không gợi ý cà phê mà em có thể thích,0,0,1,0,0,0
sản phẩm nào được chế biến bởi mật ong,0,0,0,1,0,0
mình có một thắc mắc cà phê nào phù hợp với tớ,0,0,1,0,0,0
bạn giúp mình chút được không cà phê có sẵn không,1,0,0,0,0,0
mình muốn biết sản phẩm chứa cà phê nào phổ biến nhất,0,0,0,1,0,0
bạn có thể cung cấp thông tin về americano có giá trị sử dụng cao không,0,0,0,0,1,0
công thức chế biến cà phê là gì,1,0,0,0,0,0
có thể giải đáp giúp mình không người dùng nói gì về cà phê,0,0,0,0,1,0
mình cần chút thông tin về sản phẩm nào giữa espresso và cà phê là tốt hơn,0,0,0,0,1,0
mình thắc mắc muốn hỏi bạn sản phẩm nào được làm từ bột mì,0,0,0,1,0,0
có thể hỏi bạn về bạn nên dùng cà phê nào,0,0,1,0,0,0
mình muốn biết thông tin về espressothông tin chi tiết về espresso,1,0,0,0,0,0
cậu có thể cho mình biết nguyên liệu nào được dùng để làm cà phê,1,0,0,0,0,0
mình thắc mắc chút americano có tốt như lời đồn không,0,0,0,0,1,0
có thể cho mình biết công thức chế biến cà phê là gì,1,0,0,0,0,0
cho tớ hỏi espresso có nổi tiếng không,0,0,0,0,1,0
mình có một câu hỏi americano có tính năng nổi bật nào,1,0,0,0,0,0
mình muốn hỏi bạn chút thông tin về sản phẩm nào sử dụng trứng,0,0,0,1,0,0
bạn có thể trả lời giúp mình danh sách sản phẩm bán chạy hàng đầu,0,1,0,0,0,0
cho tớ hỏi sản phẩm được mua nhiều nhất là gì,0,1,0,0,0,0
có thể giải đáp giúp mình không mình muốn thử cà phê gì,0,0,1,0,0,0
cho mình thắc mắc sản phẩm nào bán chạy nhất,0,1,0,0,0,0
mình muốn hỏi sản phẩm nào được làm từ socola,0,0,0,1,0,0
mình cần bạn giải đáp cà phê có đáng để mua thử không,0,0,0,0,1,0
mình muốn biết sản phẩm có chứa trứng không,0,0,0,1,0,0
bạn mình có một câu hỏi,0,0,0,0,0,1
cậu giúp mình với sản phẩm nào được làm từ bột mì,0,0,0,1,0,0
bạn có thể trả lời thắc mắc của mình thành phần của espresso không,1,0,0,0,0,0
có thể giúp mình giải đáp gợi ý cà phê mà anh có thể thích,0,0,1,0,0,0
cho mình hỏi độ uy tín của americano thế nào,0,0,0,0,1,0
mình cần chút thông tin về gợi ý cà phê tốt nhất,0,0,1,0,0,0
bạn cho mình hỏi espresso có chất lượng ổn không,0,0,0,0,1,0
cho tớ hỏi những sản phẩm bán chạy nhất trong Quán là gì,0,1,0,0,0,0
mình hỏi chút sản phẩm americano có thực sự chất lượng không,0,0,0,0,1,0
hello anh mình muốn hỏi,0,0,0,0,0,1
có thể cho mình biết americano có đảm bảo chất lượng không,0,0,0,0,1,0
cậu có thể cho mình biết sản phẩm chứa mật ong nào phổ biến nhất,0,0,0,1,0,0
bạn giúp mình với americano có được nhiều người yêu thích không,0,0,0,0,1,0
có thể giúp mình giải đáp gợi ý cà phê mà tớ có thể thích,0,0,1,0,0,0
có thể giải đáp giúp mình không sản phẩm chứa đường nào phổ biến nhất,0,0,0,1,0,0
có thể cho mình biết có sản phẩm nào đang hot và có lượng bán cao không,0,1,0,0,0,0
có thể hỗ trợ mình với chất lượng của americano thế nào,0,0,0,0,1,0
có thể giúp mình giải đáp có nên lựa chọn americano không,0,0,0,0,1,0
chào shop có thể hỏi bạn về,0,0,0,0,0,1
cậu giúp mình với tớ có thể thử cà phê nào,0,0,1,0,0,0
chào mọi người mình muốn hỏi,0,0,0,0,0,1
có thể giải đáp giúp mình không quán còn bán americano này không,1,0,0,0,0,0
cậu có thể cho mình biết cửa hàng gợi ý sản phẩm cho bạn được không,0,0,1,0,0,0
mình muốn biết cà phê là sản phẩm thuộc nhóm nào,1,0,0,0,0,0
bạn có thể cung cấp thông tin về sản phẩm nào có cà phê,0,0,0,1,0,0
mình muốn tìm hiểu về americano có tốt như lời đồn không,0,0,0,0,1,0
cậu có thể cho mình biết espresso có sẵn không,1,0,0,0,0,0
mình thắc mắc muốn hỏi bạn americano được tạo thành từ những nguyên liệu gì,1,0,0,0,0,0
cho mình thắc mắc quán còn bán cà phê này không,1,0,0,0,0,0
cậu có thể cho mình biết nên chọn espresso hay cà phê,0,0,0,0,1,0
bạn có thể trả lời giúp mình công thức chế biến espresso là gì,1,0,0,0,0,0
có thể giải đáp giúp mình không espresso có chất lượng không,0,0,0,0,1,0
bạn cho mình hỏi bạn có thể gợi ý cà phê cho mình không,0,0,1,0,0,0
cậu có thể cho mình biết tôi có thể tìm sản phẩm chứa bơ ở đâu,0,0,0,1,0,0
cho mình thắc mắc espresso với cà phê thì cái nào phổ biến hơn,0,0,0,0,1,0
mình thắc mắc chút sản phẩm nào được làm từ trứng,0,0,0,1,0,0
hello shop mình hỏi chút,0,0,0,0,0,1
bạn giúp mình với gợi ý cà phê nào cho tớ tốt nhất,0,0,1,0,0,0
mình muốn tìm hiểu về espresso có tốt không,0,0,0,0,1,0
mình đang thắc mắc về sản phẩm espresso có xứng đáng không,0,0,0,0,1,0
có thể hỏi bạn về cà phê nào anh nên xem xét,0,0,1,0,0,0
cho tớ hỏi có sản phẩm nào chứa sữa không,0,0,0,1,0,0
hey mình có điều muốn hỏi,0,0,0,0,0,1
mình muốn biết hiện tại có thể mua bao nhiêu americano,1,0,0,0,0,0
bạn cho mình xin thông tin về có sản phẩm nào chứa phô mai không,0,0,0,1,0,0
có thể giúp mình giải đáp cà phê và espresso thì cái nào ngon hơn theo bạn,0,0,0,0,1,0
cậu giúp mình với có nên lựa chọn americano không,0,0,0,0,1,0
mình cần chút thông tin về cà phê có trong sản phẩm nào,0,0,0,1,0,0
có thể cho mình biết cà phê là sản phẩm thuộc phân khúc nào,1,0,0,0,0,0
bạn có thể cung cấp thông tin về có cà phê nào phù hợp với mình không,0,0,1,0,0,0
mình hỏi chút có nên thử espresso không,0,0,0,0,1,0
bạn có thể cho tớ thông tin về cà phê nào phù hợp với tớ,0,0,1,0,0,0
bạn có thể trả lời giúp mình cà phê có thuộc loại cao cấp không,1,0,0,0,0,0
mình muốn hỏi espresso giá bao nhiêu,1,0,0,0,0,0
bạn giúp mình chút được không mình cần bao nhiêu tiền để mua americano,1,0,0,0,0,0
bạn có thể cho tớ thông tin về americano có đáng để mua thử không,0,0,0,0,1,0
mình thắc mắc muốn hỏi bạn mình cần bao nhiêu tiền để mua espresso,1,0,0,0,0,0
có thể giúp mình giải đáp espresso được mô tả như thế nào,1,0,0,0,0,0
mình muốn tìm hiểu về mình có thể thử cà phê nào,0,0,1,0,0,0
xin chào shop mình thắc mắc muốn hỏi bạn,0,0,0,0,0,1
mình cần chút thông tin về rõ hơn về cà phê,1,0,0,0,0,0
bạn cho mình hỏi chất lượng của cà phê thế nào,0,0,0,0,1,0
bạn cho mình xin thông tin về americano còn hàng không,1,0,0,0,0,0
mình có một thắc mắc những sản phẩm nào đang bán chạy nhất trong hệ thống của Quán,0,1,0,0,0,0
anh có thể giúp mình giải đáp,0,0,0,0,0,1
cho mình thắc mắc sản phẩm nào được làm từ bơ,0,0,0,1,0,0
bạn có thể cho tớ thông tin về espresso và cà phê thì cái nào ngon hơn theo bạn,0,0,0,0,1,0
cho mình hỏi quán có thể cho biết những sản phẩm nào đang bán chạy theo tuần không,0,1,0,0,0,0
cho mình thắc mắc nên chọn americano hay cà phê,0,0,0,0,1,0
mình muốn biết tớ muốn biết cà phê nào là tốt nhất,0,0,1,0,0,0
cho mình hỏi những sản phẩm nào có doanh thu cao nhất trong thời gian gần đây,0,1,0,0,0,0
bạn giúp mình với có gì đặc biệt về cà phê mà mình nên biết,1,0,0,0,0,0
cậu giúp mình với sản phẩm nào có phô mai,0,0,0,1,0,0
có thể hỗ trợ mình với sản phẩm americano có phải là sự lựa chọn hoàn hảo không,0,0,0,0,1,0
có sản phẩm nào chứa đường không,0,0,0,1,0,0
có thể giải đáp giúp mình không độ uy tín của americano thế nào,0,0,0,0,1,0
bạn cho mình xin thông tin về americano được mô tả như thế nào,1,0,0,0,0,0
bạn có thể trả lời thắc mắc của mình sản phẩm nào giữa americano và cà phê là tốt hơn,0,0,0,0,1,0
mình có một câu hỏi americano với cà phê thì cái nào phổ biến hơn,0,0,0,0,1,0
mình cần chút thông tin về sản phẩm nào sử dụng bột mì,0,0,0,1,0,0
mình hỏi chút espresso có sẵn không,1,0,0,0,0,0
cho tớ hỏi americano là thuộc dòng sản phẩm gì,1,0,0,0,0,0
mình có một thắc mắc độ uy tín của espresso thế nào,0,0,0,0,1,0
cho mình hỏi americano được mô tả như thế nào,1,0,0,0,0,0
mình thắc mắc chút những sản phẩm nào đang bán chạy nhất trong danh mục hiện nay,0,1,0,0,0,0
mình có điều muốn hỏi sản phẩm nào có trà,0,0,0,1,0,0
mình có một câu hỏi những sản phẩm nào đang nằm trong top doanh số,0,1,0,0,0,0
mình thắc mắc chút cửa hàng gợi ý sản phẩm cho mình được không,0,0,1,0,0,0
mình cần chút thông tin về những sản phẩm nào đang nằm trong top doanh số,0,1,0,0,0,0
có thể hỏi bạn về cà phê nào mình nên xem xét,0,0,1,0,0,0
cho tớ hỏi thành phần của cà phê không,1,0,0,0,0,0
bạn giúp mình chút được không cà phê nào anh nên thử,0,0,1,0,0,0
mình cần chút thông tin về có nên lựa chọn americano không,0,0,0,0,1,0
shop mình có điều muốn hỏi,0,0,0,0,0,1
mình có một câu hỏi espresso có sẵn không,1,0,0,0,0,0
mình muốn hỏi bạn chút thông tin về công thức chế biến espresso là gì,1,0,0,0,0,0
mình đang thắc mắc về sản phẩm espresso có thực sự chất lượng không,0,0,0,0,1,0
mình muốn hỏi cửa hàng gợi ý sản phẩm cho anh được không,0,0,1,0,0,0
cho tớ hỏi độ uy tín của americano thế nào,0,0,0,0,1,0
mình cần bạn giải đáp gợi ý cà phê mà em có thể thích,0,0,1,0,0,0
cậu có thể cho mình biết có cà phê nào mà tôi không nên bỏ lỡ không,0,0,1,0,0,0
hiện tại có thể mua bao nhiêu americano,1,0,0,0,0,0
có thể giải đáp giúp mình không bạn có biết cà phê nào cho em không?,0,0,1,0,0,0
alo quán có thể giúp mình giải đáp,0,0,0,0,0,1
cho mình hỏi sản phẩm nào được chế biến bởi bơ,0,0,0,1,0,0
mình có một thắc mắc những sản phẩm nào đang được khách hàng săn đón nhiều nhất,0,1,0,0,0,0
có thể hỏi bạn về americano và cà phê thì loại nào đáng mua hơn,0,0,0,0,1,0
mình muốn hỏi bạn chút thông tin về espresso có phân loại ra sao,1,0,0,0,0,0
bạn có thể cung cấp thông tin về sản phẩm được mua nhiều nhất là gì,0,1,0,0,0,0
có thể giúp mình giải đáp sản phẩm nào sử dụng trứng,0,0,0,1,0,0
mình cần chút thông tin về espresso và cà phê thì cái nào ngon hơn theo bạn,0,0,0,0,1,0
bạn có thể trả lời giúp mình nguyên liệu chính của cà phê là gì,1,0,0,0,0,0
bạn có thể cung cấp thông tin về có sản phẩm nào chứa bơ không,0,0,0,1,0,0
mình đang thắc mắc về americano được xếp vào loại nào trên thị trường,1,0,0,0,0,0
có thể giải đáp giúp mình không quán có thể cho biết những sản phẩm nào đang bán chạy theo tuần không,0,1,0,0,0,0
mình có một câu hỏi số lượng cà phê hiện tại trong kho là bao nhiêu,1,0,0,0,0,0
bạn giúp mình với espresso có nổi tiếng không,0,0,0,0,1,0
mình có điều muốn hỏi espresso có chất lượng ổn không,0,0,0,0,1,0
bạn giúp mình chút được không hiện tại có thể mua bao nhiêu cà phê,1,0,0,0,0,0
mình muốn hỏi bạn chút thông tin về em muốn biết cà phê nào là tốt nhất,0,0,1,0,0,0
xin chào mình thắc mắc muốn hỏi bạn,0,0,0,0,0,1
mình có một câu hỏi espresso thuộc danh mục nào,1,0,0,0,0,0
bạn giúp mình với những sản phẩm nào đang dẫn đầu doanh số bán hàng trong tháng này,0,1,0,0,0,0
bạn có thể trả lời giúp mình sản phẩm nào sử dụng trà,0,0,0,1,0,0
mình cần chút thông tin về tôi có thể tìm sản phẩm chứa socola ở đâu,0,0,0,1,0,0
mình hỏi chút sản phẩm nào sử dụng trà,0,0,0,1,0,0
bạn cho mình hỏi có cà phê nào mà bạn không nên bỏ lỡ không,0,0,1,0,0,0
bạn có thể cung cấp thông tin về gợi ý cà phê tốt nhất,0,0,1,0,0,0
mình có một câu hỏi cà phê được giới thiệu ra sao,1,0,0,0,0,0
bạn có thể trả lời thắc mắc của mình sản phẩm nào được chế biến bởi cà phê,0,0,0,1,0,0
cậu có thể cho mình biết sản phẩm nào được chế biến bởi cà phê,0,0,0,1,0,0
bạn có thể cho tớ thông tin về mình có thể tham khảo cà phê nào,0,0,1,0,0,0
alo shop bạn có thể cho tớ thông tin về,0,0,0,0,0,1
bạn có thể cho tớ thông tin về bạn có thể cho mình biết giá của espresso không,1,0,0,0,0,0
mình muốn hỏi sản phẩm nào có socola,0,0,0,1,0,0
mình có điều muốn hỏi cho tôi biết cà phê nào phù hợp với tôi,0,0,1,0,0,0
cho tớ hỏi cà phê và espresso thì cái nào ngon hơn theo bạn,0,0,0,0,1,0
mình muốn hỏi bạn chút thông tin về americano có thành phần đặc trưng nào,1,0,0,0,0,0
hello cậu cho mình thắc mắc,0,0,0,0,0,1
mình hỏi chút sản phẩm cà phê có hợp lý không,0,0,0,0,1,0
bạn giúp mình chút được không cà phê có phải là lựa chọn tốt không,0,0,0,0,1,0
xin chào cậu cho tớ hỏi,0,0,0,0,0,1
bạn cho mình xin thông tin về có nên lựa chọn espresso không,0,0,0,0,1,0
có thể hỏi bạn về espresso có là sản phẩm phổ biến không,0,0,0,0,1,0
bạn có thể trả lời giúp mình nên chọn espresso hay cà phê,0,0,0,0,1,0
mình cần bạn giải đáp những sản phẩm nào đang bán chạy nhất trong danh mục hiện nay,0,1,0,0,0,0
mình có điều muốn hỏi sản phẩm nào có socola,0,0,0,1,0,0
cho mình thắc mắc giá bán của americano hiện tại là bao nhiêu,1,0,0,0,0,0
có thể cho mình biết nạn có thể cho mình biết danh sách sản phẩm bán chạy nhất không,0,1,0,0,0,0
chào quán có thể hỏi bạn về,0,0,0,0,0,1
cho tớ hỏi gợi ý cho mình cà phê tương tự với,0,0,1,0,0,0
bạn giúp mình chút được không americano có ngon không,0,0,0,0,1,0
mình có điều muốn hỏi cà phê có thành phần đặc trưng nào,1,0,0,0,0,0
mình đang thắc mắc về americano có đáng tiền không,0,0,0,0,1,0
mình đang thắc mắc về công thức chế biến espresso là gì,1,0,0,0,0,0
mình cần chút thông tin về có sản phẩm nào được chế biến từ bột mì,0,0,0,1,0,0
bạn giúp mình với espresso được chế biến như thế nào,1,0,0,0,0,0
bạn cho mình xin thông tin về có sản phẩm nào được chế biến từ cà phê,0,0,0,1,0,0
bạn có thể cho tớ thông tin về gợi ý cho tôi cà phê tương tự với,0,0,1,0,0,0
bạn cho mình hỏi có cà phê nào phù hợp với tớ không,0,0,1,0,0,0
mình thắc mắc muốn hỏi bạn bạn có thể gợi ý cà phê cho em không,0,0,1,0,0,0
có thể hỏi bạn về americano có tốt không,0,0,0,0,1,0
bạn giúp mình với sản phẩm cà phê có thực sự chất lượng không,0,0,0,0,1,0
chào anh bạn có thể cho tớ thông tin về,0,0,0,0,0,1
cho mình hỏi cà phê có ngon hơn espresso không,0,0,0,0,1,0
có thể giúp mình giải đáp americano có phải là sản phẩm ngon nhất không,0,0,0,0,1,0
xin chào em cho tớ hỏi,0,0,0,0,0,1
mình muốn tìm hiểu về cà phê có nổi tiếng không,0,0,0,0,1,0
hello nhân viên mình muốn tìm hiểu về,0,0,0,0,0,1
mình cần chút thông tin về americano có chất lượng ổn không,0,0,0,0,1,0
bạn giúp mình chút được không gợi ý cho tôi cà phê tương tự với,0,0,1,0,0,0
có thể giúp mình giải đáp espresso có thuộc loại cao cấp không,1,0,0,0,0,0
mình cần bạn giải đáp cà phê với espresso cái nào ngon hơn,0,0,0,0,1,0
mình muốn hỏi bạn chút thông tin về sản phẩm nào giữa americano và cà phê là tốt hơn,0,0,0,0,1,0
mình muốn biết cà phê được giới thiệu ra sao,1,0,0,0,0,0
mình thắc mắc chút sản phẩm americano có thực sự chất lượng không,0,0,0,0,1,0
mình có một thắc mắc espresso là sản phẩm thuộc phân khúc nào,1,0,0,0,0,0
mình cần chút thông tin về sản phẩm nào đang được mọi người ưa chuộng mua sắm hiện tại,0,1,0,0,0,0
sản phẩm nào sử dụng trứng,0,0,0,1,0,0
bạn giúp mình chút được không quán có thể báo giá americano giúp mình được không,1,0,0,0,0,0
cho tớ hỏi sản phẩm espresso có thực sự chất lượng không,0,0,0,0,1,0
cho tớ hỏi cửa hàng gợi ý sản phẩm cho tớ được không,0,0,1,0,0,0
mình cần chút thông tin về có sản phẩm nào chứa đường không,0,0,0,1,0,0
mình cần bạn giải đáp cà phê nào tôi nên xem xét,0,0,1,0,0,0
hello shop mình cần chút thông tin về,0,0,0,0,0,1
cho mình thắc mắc americano được xếp vào loại nào trên thị trường,1,0,0,0,0,0
mình cần bạn giải đáp cà phê nào phù hợp với tớ,0,0,1,0,0,0
xin chào bạn có thể giúp mình giải đáp,0,0,0,0,0,1
có thể cho mình biết bạn thích cà phê nào thì nên mua gì,0,0,1,0,0,0
mình thắc mắc muốn hỏi bạn giá bán của americano hiện tại là bao nhiêu,1,0,0,0,0,0
mình có điều muốn hỏi espresso có là sản phẩm phổ biến không,0,0,0,0,1,0
cho mình thắc mắc cửa hàng gợi ý sản phẩm cho tôi được không,0,0,1,0,0,0
cho mình hỏi espresso có giá trị sử dụng cao không,0,0,0,0,1,0
xin chào em bạn giúp mình chút được không,0,0,0,0,0,1
cho tớ hỏi tôi có thể tìm sản phẩm chứa bơ ở đâu,0,0,0,1,0,0
cậu giúp mình với cà phê có tốt như lời đồn không,0,0,0,0,1,0
mình có một thắc mắc trà có trong sản phẩm nào,0,0,0,1,0,0
cà phê nào anh nên thử,0,0,1,0,0,0
bạn có thể trả lời giúp mình espresso có thực sự tốt không,0,0,0,0,1,0
bạn giúp mình với espresso được làm từ nguyên liệu gì,1,0,0,0,0,0
hello cậu có thể hỏi bạn về,0,0,0,0,0,1
cho tớ hỏi có gì đặc biệt về espresso mà mình nên biết,1,0,0,0,0,0
mình cần bạn giải đáp cà phê nào em nên thử,0,0,1,0,0,0
bạn cho mình hỏi quán có thể cho biết những sản phẩm nào đang bán chạy theo tuần không,0,1,0,0,0,0
